Phase,Description
00-10-10,architectural consultant
00-10-11,structural consultant
00-10-12,mechanical consultant
00-10-13,plumbing consultant
00-10-14,hvac consultant
00-10-15,fire suppression consultant
00-10-16,electrical consultant
00-10-17,geotechnical consultant
00-10-18,building envelope consultant
00-10-19,window consultant
00-10-20,interior design consultant
00-10-21,landscape consultant
00-10-22,acoustics consultant
00-10-60,business license
00-30-10,building permit
00-30-11,plumbing permit
00-30-12,electrical permit
00-30-13,water & sewer permit
00-30-14,parking meter street permit
00-30-15,no-parking street permit
00-30-16,street & sidewalk permit
00-30-17,street crossing permit
00-30-30,project printing & drafting
00-61-10,bid bonds
00-61-11,performance & labour and material bonds
00-61-12,lien bonds
00-61-13,subtrade bonds
00-62-10,insurance - all risk builders risk
00-62-11,insurance - wrap-up liability
00-62-12,insurance - corporate general liability
00-70-10,legal
01-10-10,general conditions
01-30-10,construction manager
01-30-11,senior project manager
01-30-12,project manager
01-30-13,assistant project manager
01-30-14,project coordinator
01-30-15,leed coordinator
01-30-16,bim coordinator
01-30-17,site estimator
01-30-18,project administrator
01-30-19,project accountant
01-30-20,senior superintendent
01-30-21,superintendent
01-30-22,structure superintendent
01-30-23,finishing superintendent
01-30-24,parkade superintendent
01-30-25,sitework/landscape superintendent
01-30-26,residential superintendent
01-30-27,commercial superintendent
01-30-28,quality control superintendent
01-30-29,assistant superintendent
01-30-30,foreman
01-30-31,flagperson
01-30-32,rigger
01-30-33,labourer
01-30-40,safety manager
01-30-41,cso
01-30-42,first aid attendent
01-30-50,deficiency manager
01-30-51,deficiency technician
01-30-60,vp construction
01-30-61,project director
01-30-62,operations manager
01-31-31,travel & accommodation expense
01-31-40,cartage
01-32-33,photographic documentation
01-32-50,bim modeling
01-33-23,submittal printing & drafting
01-45-41,scaffolding engineering
01-45-42,crane engineering
01-45-43,safety consultant
01-51-13,temporary power
01-51-23,temporary heating
01-51-24,temporary ventilation
01-51-26,temporary lighting
01-51-33,temporary telephone
01-51-36,temporary water
01-52-13,field offices & sheds
01-52-16,first aid supplies
01-52-17,safety equipment & supplies
01-52-19,temporary toilets
01-52-20,temporary office equipment & supplies
01-52-21,radios
01-52-22,field office supplies
01-52-23,field supplies
01-52-24,lock-up
01-52-25,small tools & repairs
01-52-30,property rental
01-52-40,temporary warehouse
01-54-13,elevator operator
01-54-16,man hoist
01-54-17,material hoist
01-54-19,mobile crane
01-54-20,tower crane
01-54-21,self erecting crane
01-54-23,staging & scaffolding
01-54-24,temporary stairway
01-54-26,swing staging
01-54-30,bobcat
01-54-31,forklift
01-54-32,evacuation box
01-54-33,material outrigger platforms
01-55-19,temporary parking
01-55-26,traffic control
01-55-27,traffic signs
01-56-16,temporary dust barriers
01-56-26,temporary fencing
01-56-29,temporary protective walkways
01-56-30,temporary walkways supporting trailers
01-56-33,temporary security barriers
01-56-39,temporary tree protection
01-56-40,guard rails
01-57-19,silt baskets
01-57-20,street cleaning
01-57-30,security
01-57-40,weather enclosures
01-57-41,winter conditions
01-57-50,powerline protection
01-57-51,bus line protection & relocation
01-57-60,street permits
01-57-61,bus stop relocation
01-57-62,sidewalk rental
01-57-63,meter rental
01-58-13,project signage
01-71-13,Mobilization
01-71-23,site & building layout
01-71-24,legal survey
01-71-40,power pole relocation
01-74-13,progressive clean-up
01-74-15,garbage chute
01-76-20,protect finishes
01-76-21,protect finishes - commercial
01-77-20,deficiencies
01-77-21,deficiencies - commercial
01-78-19,maintenance
01-78-23,maintenance manuals
01-78-36,warranties
01-78-37,warranties - commercial
01-78-39,project record documents
02-24-13,environmental review
02-24-15,site effluent water testing
02-41-10,demolition & abatement trade contract
02-41-13,selective site demolition
02-41-14,asphalt removal
02-41-16,building demolition
02-41-19,selective demolition
02-41-20,demolition
02-41-30,scanning & xray
02-41-91,selective historic demolition
02-43-13,house moving
02-65-10,underground storage tank removal
02-80-10,hazmat general abatement trade contract
02-80-11,asbestos abatement
02-80-12,lead abatement
02-80-13,lead-based paint abatement
02-80-14,lighting ballasts & lamps pcb/mercury abatement
02-80-15,mold abatement
03-11-10,formwork trade contract
03-11-13,forming structural
03-11-16,forming architectural
03-11-30,forming miscellaneous
03-11-31,forming stairs & landings
03-11-32,forming equipment pads
03-15-10,concrete accessories
03-15-13,waterstops
03-21-10,reinforcing steel trade contract
03-21-11,reinforcing steel
03-21-30,concrete dowels
03-21-40,shear studs
03-22-13,welded wire mesh
03-30-53,concrete material - miscellaneous
03-31-26,concrete material - waterproof concrete
03-31-40,concrete material - footings
03-31-41,concrete material - below-grade verticals
03-31-42,concrete materials - below-grade horizontals
03-31-43,concrete material - above grade verticals
03-31-44,concrete material - above grade horizontals
03-31-45,concrete material - landscape
03-31-46,concrete material - sog
03-31-47,concrete slurry
03-35-10,finishing concrete trade contract
03-35-23,finishing exposed aggregate
03-35-29,finishing grooved
03-35-30,finishing broomed
03-35-33,finishing stamped
03-35-43,finishing polished
03-35-50,finishing sealer
03-35-60,sandblasting
03-36-10,finishing slab restoration
03-36-11,finishing grinding
03-36-12,finishing sack rubbing
03-36-13,finishing stairwells
03-36-20,saw cut new concrete
03-36-30,grout door frames
03-37-13,concrete shotcrete
03-37-16,concrete pumping equipment
03-37-20,placing boom equipment
03-38-10,post-tensioning
03-41-10,structural precast
03-45-10,precast concrete trade contract
03-45-13,architectural precast
03-45-50,precast caps
03-45-51,precast columns
03-45-60,precast benches
03-45-61,precast planters
03-45-62,precast wheel stops
03-48-19,precast stair treads
03-48-50,precast sills
03-48-60,precast miscellaneous
03-53-10,concrete topping trade contract
03-53-13,concrete topping
03-53-20,concrete topping metal deck
03-60-10,grouting
03-80-10,concrete cutting
03-80-11,concrete coring
03-90-10,concrete test & design
04-05-10,brick ledge angles
04-05-19,masonry reinforcing steel
04-21-13,brick masonry
04-21-14,thin-brick masonry
04-21-19,clay tile masonry
04-22-10,masonry & brick trade contract
04-22-13,concrete unit masonry
04-22-23,architectural concrete unit masonry
04-22-40,grout elevator door frames
04-23-13,glass unit masonry
04-43-13,stone masonry veneer
05-10-10,structural & misc. steel trade contract
05-10-13,structural steel
05-20-10,steel joists
05-30-10,metal decking
05-50-10,miscellaneous steel
05-50-11,metal canopies
05-50-12,metal trellis
05-50-13,steel bollards
05-50-14,trench drain
05-51-10,steel stairs
05-52-10,alum. rails & guardrails trade contract
05-52-13,stair rails
05-52-20,guardrails
05-52-21,balcony railings and guardrails
05-52-22,suite stair rails
05-52-23,privacy screens
05-52-24,frosted glass privacy screens
05-52-30,landscape railings
05-70-10,stainless steel countertops & backsplash
05-70-11,stainless steel trim
05-70-12,stainless steel railings
05-70-20,ornamental metal
06-10-10,framing trade contract - supply & install
06-10-52,framing material - supply
06-10-53,framing interior - miscellaneous
06-10-54,framing walls
06-10-55,framing floor joists
06-10-56,framing roof joists
06-10-57,framing wood trusses
06-10-60,framing back framing
06-10-63,framing exterior - miscellaneous
06-10-64,framing wall sheathing
06-10-65,framing floor sheathing
06-10-66,framing roof sheathing
06-10-67,framing furring/strapping wood
06-10-68,framing soffits & canopy
06-10-70,framing seismic tie-down anchors
06-10-80,rough-in backing & blocking
06-10-81,rough-in window backing
06-10-82,rough-in door backing
06-10-83,prep roof parapet & cant blocking
06-10-84,install window wood frame
06-11-10,framing trade contract - install
06-13-23,heavy timber
06-15-19,framing wood decking
06-18-13,glued-laminated beams
06-18-16,glued-laminated columns
06-18-20,glued-laminated connections
06-20-14,exterior moldings
06-20-15,exterior wood trim
06-22-10,millwork trade contract
06-42-13,wood paneling
06-42-16,flush wood paneling
06-42-19,plastic-laminate-faced wood paneling
06-43-13,framing wood stairs
06-43-16,finishing wood stair rail
06-46-10,finish carpentry trade contract
06-46-13,finishing wood door casings
06-46-14,finishing window casings
06-46-18,finishing wood base - commercial
06-46-19,finishing wood base - suites
06-46-20,finishing wood base - corridor
06-46-21,finishing shoe molding
06-46-22,finishing valances
06-46-23,finishing chair rails
06-46-26,finishing wood cornices
06-46-27,cornice backing
06-46-29,wood soffits
06-46-30,wood fascia
06-46-33,finishing window sills
06-46-40,finishing molding ceilings
06-46-41,finishing thresholds
07-01-50,patching existing roofing
07-10-10,below grade waterproofing trade contract
07-11-13,dampproofing
07-13-13,waterproofing bituminous sheet horizontal surfaces
07-13-14,waterproofing bituminous sheet vertical surfaces
07-13-26,waterproofing self adhering sheet
07-13-53,waterproofing elastomeric sheet
07-13-60,waterproofing vinyl sheet
07-14-13,waterproofing hot fluid-applied horizontal surfaces
07-14-14,waterproofing hot fluid-applied vertical surfaces
07-14-16,waterproofing cold fluid-applied horizontal surfaces
07-14-17,waterproofing cold fluid-applied vertical surfaces
07-14-20,pool membrane
07-14-21,waterproof shower bases
07-14-22,waterproof elevator pit
07-18-13,pedestrian traffic coatings
07-18-16,vehicular traffic coatings
07-21-10,thermal insulation trade contract
07-21-13,rigid insulation
07-21-16,batt insulation
07-21-19,spray foam insulation
07-21-29,mineral spray insulation
07-26-13,air barrier
07-31-13,asphalt shingles
07-31-29,cedar shingles
07-32-10,roofing tiles
07-41-13,preformed metal roofing
07-42-10,metal panel trade contract
07-42-13,metal wall panels
07-44-56,stucco exterior walls - concrete
07-44-57,stucco exterior wall - woodframe
07-44-60,eifs panels
07-46-10,siding & soffit trade contract
07-46-23,wood siding
07-46-33,vinyl siding
07-46-40,shingle siding
07-46-46,hardi plank/panel
07-50-10,roofing & waterproofing trade contract
07-50-11,hot fluid-applied membrane roofing
07-50-12,cold fluid-applied membrane roofing
07-50-13,bituminous membrane roofing
07-50-20,roof testing & rcabc inspection
07-50-21,rcabc inspection
07-50-22,waterproofing inspection
07-62-10,flashing & sheet metal
07-69-10,green roof
07-71-23,gutters & downspouts
07-71-33,scuppers
07-71-40,leak detection systems
07-72-30,pre-manufactured skylight
07-72-33,roof hatches
07-76-13,roof pavers
07-76-16,patios pavers
07-81-10,sprayed fireproofing
07-84-10,firestopping trade contract
07-84-11,firestopping
07-92-10,sealants & caulking trade contract
07-92-11,sealants & caulking - exterior
07-92-12,sealants & caulking
07-92-20,slab edge treatment
07-95-10,expansion joint
08-10-10,doors & hardware trade contract
08-11-13,metal doors & frames
08-14-11,wood doors & frames
08-14-16,wood interior sgle dble swing door
08-14-23,wood aluminum clad balcony door
08-14-29,wood suite entry sgle dble door
08-14-33,wood stile and rail door
08-14-40,wood balcony door
08-14-41,wood pocket door
08-14-42,wood sgle dble french door
08-14-43,wood tall doors
08-14-44,wood double d doors
08-14-76,wood bi-fold door
08-14-77,wood bypass door
08-18-10,mirror bi-fold door
08-18-11,mirror bypass door
08-30-10,custom pivot door
08-31-16,access panel
08-31-17,fire rated access panel
08-31-20,roof access doors
08-31-21,fire rated access hatches
08-32-10,interior glass sliding doors
08-32-11,interior glass sliding panels
08-33-10,overhead doors trade contract
08-33-23,rolling overhead doors
08-33-26,rolling grilles
08-33-50,overhead non-motorised metal shutter
08-33-51,overhead motorised metal shutter
08-34-10,office entries
08-34-53,security doors and frames
08-34-56,security gates & grilles
08-34-80,fire rated overhead doors
08-35-13,folding doors
08-35-16,metal folding grilles
08-35-20,countertop folding shutters
08-40-10,curtain wall & storefront trade contract
08-41-13,aluminum-framed entrances & storefronts
08-41-26,all-glass entrances & storefronts
08-41-30,folding storefront systems
08-43-11,timber-frame storefronts
08-43-13,aluminum-framed storefronts
08-43-23,steel-framed storefronts
08-43-26,all-glass storefronts
08-43-27,channel glass storefronts
08-43-29,sliding storefronts
08-44-11,glazed timber curtain wall
08-44-13,glazed aluminum curtain wall
08-44-23,structural sealant glazed curtain wall
08-44-26,structural glass curtain wall
08-44-30,unitized curtain wall
08-51-10,window wall trade contract
08-51-13,aluminum windows
08-52-10,wood windows
08-53-10,vinyl & fibreglass window trade contract
08-53-13,vinyl windows
08-56-10,specialty windows
08-57-10,self-adhered-membrane wood openings
08-57-11,self-adhered-membrane concrete openings
08-58-10,window protection
08-59-10,window Acoustics
08-62-13,domed unit skylights
08-62-16,pyramidal unit skylights
08-62-19,vaulted unit skylights
08-62-23,tubular skylights
08-63-10,aluminum skylights
08-71-10,door finish hardware - residential grade
08-71-11,door finish hardware - commercial grade
08-71-13,auto door operators
08-71-20,entry hardware upgrade
08-74-13,card key access control hardware
08-74-16,keypad access control hardware
08-74-19,biometric identity access control hardware
08-74-20,miscellaneous access control hardware
08-81-10,interior glazing trade contract
08-81-20,interior glass partitions
08-83-13,mirrors
08-83-20,mirror frames
08-83-21,mirror surrounds
08-88-10,miscellaneous glazing trade contract
08-88-20,canopy glass
08-88-40,structural glass
08-88-41,wired glass
08-88-42,sidelight glass
08-88-60,back painted kitchen backsplash
08-88-61,back painted glass wall panel
08-88-62,back painted glass counters
08-88-70,miscellaneous glazing
08-91-19,louvers & vents
09-21-10,steel stud & drywall trade contract
09-21-16,drywall & steel stud - concrete
09-21-17,drywall & steel stud - commercial
09-21-20,drywall - woodframe
09-21-24,drywall suspended ceiling
09-22-20,structural exterior steel stud & gypsum plastering
09-22-21,structural interior steel stud & gypsum plastering
09-22-22,non-structural interior steel stud
09-24-23,cement stucco render walls
09-24-24,cement plaster ceilings
09-25-10,acrylic stucco exterior drywall soffits
09-25-11,venetian plaster walls
09-30-10,tiling trade contract
09-30-30,interior stone tile - floors
09-30-31,interior stone tile - walls
09-30-32,interior stone tile - columns
09-30-34,interior stone tile - base
09-30-40,ceramic tile - suites
09-30-41,ceramic tile - floors
09-30-42,ceramic tiles - walls
09-30-43,ceramic tiles - kitchen backsplash
09-30-45,ceramic tile - facing to fireplace
09-30-46,ceramic tile - washer & dryer closets
09-30-47,ceramic tile - base
09-30-50,ceramic tile - entrance lobby
09-30-51,ceramic tile - common area
09-30-52,ceramic tile - lobbies
09-30-53,ceramic tile - elevator floors
09-30-60,ceramic tile - commercial
09-30-61,ceramic tile - miscellaneous
09-30-70,ceramic tile anti-fracture membrane
09-51-13,acoustical panel ceilings
09-51-14,acoustical fabric-faced panel ceilings
09-51-23,acoustical tile ceilings
09-51-26,acoustical wood ceilings
09-51-33,acoustical metal pan ceilings
09-54-13,open metal mesh ceilings
09-54-19,mirror panel ceilings
09-54-23,linear metal ceiling
09-54-26,suspended wood ceiling
09-54-33,decorative panel ceiling
09-54-36,suspended decorative grids
09-54-43,stretched-fabric ceiling systems
09-54-46,fabric-wrapped ceiling panels
09-56-10,spray textured ceilings
09-60-10,flooring trade contract
09-62-19,laminate flooring
09-62-63,metal flooring
09-62-83,structural glass flooring
09-64-33,wood flooring
09-64-66,wood athletic flooring
09-64-70,floor prep for finishes
09-65-13,resilient base
09-65-14,stair nosing
09-65-16,resilient sheet flooring
09-65-17,rubber sheet flooring
09-65-18,resilient plank flooring
09-65-19,resilient tile flooring
09-65-20,rubber tile flooring
09-66-13,terrazzo
09-68-13,tile carpeting suites
09-68-14,tile carpeting common
09-68-15,tile carpeting - commercial
09-68-16,sheet carpeting suites
09-68-17,sheet carpeting common
09-68-18,sheet carpeting - commercial
09-72-16,fabric wall coverings
09-72-23,wallpapering
09-72-30,protective wall panels
09-75-13,real stone wall facing
09-75-14,cultured stone wall facing
09-75-19,stone trim
09-84-10,acoustic stretched-fabric wall systems
09-91-10,painting trade contract
09-91-13,painting exterior
09-91-23,painting interior - residential
09-91-30,painting parkade
09-91-31,sog sealer
09-91-40,painting interior - commercial
09-91-50,painting - mpi inspection
09-91-51,painting - maintenance bond
09-96-46,intumescent paint
09-96-56,epoxy coatings
09-97-10,special coatings
09-97-23,concrete & masonry coatings
09-99-10,final cleaning trade contract
09-99-11,final cleaning - commercial
09-99-12,final cleaning
09-99-20,final cleaning - exterior glass
09-99-30,final cleaning - exterior
10-11-13,whiteboards & tackboards
10-14-10,signage trade contract
10-14-11,sign bands
10-14-12,identifying devices
10-14-70,specialty signage
10-21-10,metal urinal partitions & screens
10-21-11,plastic urinal partitions & screens
10-21-12,stone urinal partitions & screens
10-21-13,metal toilet partitions & screens
10-21-14,plastic toilet partitions & screens
10-21-15,stone toilet partitions & screens
10-21-23,vinyl curtain
10-22-13,wire mesh partitions
10-22-14,expanded metal partitions
10-22-19,demountable partitions
10-22-43,sliding partitions
10-26-13,corner guards
10-26-16,bumper guards
10-28-13,common washroom accessory - single
10-28-14,common washroom accessory - multi
10-28-15,common washroom accesories - commercial
10-28-16,toilet & bath accessories
10-28-19,shower & tub doors
10-28-20,frameless glass shower door & surround
10-31-10,prefabricated fireplaces
10-31-11,fireplace - lobby
10-32-10,fireplace mantel
10-32-11,fireplace mantel - lobby
10-32-19,fireplace facing
10-41-10,fire safety plan
10-51-13,metal lockers
10-51-16,wood lockers
10-51-43,wire mesh storage lockers
10-51-53,locker room benches
10-55-23,postal specialties
10-56-13,shelves
10-56-29,wine storage racks
10-57-23,wire shelving closet organizers
10-57-24,wood closet organizers
10-71-13,exterior window shutters
10-71-14,sunshades
10-73-13,awnings
10-74-13,clocks
10-74-33,weathervanes
10-75-16,flagpoles
10-80-10,specialty trade contract
10-82-13,exterior grilles & screens
10-82-14,mechanical roof screens
10-82-23,interior grilles & screens
10-82-30,exterior decorative caps
10-90-10,public art
11-12-40,automatic parking system
11-13-10,loading dock equipment
11-13-13,dock bumpers
11-23-33,commercial laundry
11-24-10,window washing anchors & equip. trade contract
11-24-19,vacuum cleaning systems
11-24-23,window washing equipment
11-24-24,fall arrest roof anchors
11-26-13,commercial kitchen
11-31-10,appliance trade contract
11-31-13,kitchen appliances
11-31-23,washer & dryer
11-31-24,garbage compactor
11-31-25,amenity appliances
11-31-30,appliance installation
11-31-40,appliance upgrade
11-41-13,commercial fridge
11-41-23,walk-in coolers
11-41-26,walk-in freezers
11-48-13,commercial dishwasher
11-66-13,exercise equipment
11-82-10,waste handling equipment
12-21-10,window covering trade contract
12-21-13,metal horizontal blinds
12-21-14,wood horizontal blinds
12-21-15,plastic horizontal blinds
12-21-16,metal vertical blinds
12-21-17,wood vertical blinds
12-21-18,plastic vertical blinds
12-21-23,roller blinds
12-21-26,motorized black-out blinds
12-35-10,cabinet trade contract
12-35-30,manufactured cabinets & casework
12-35-31,medicine cabinets
12-35-32,cabinet install
12-36-10,countertops trade contract
12-36-23,laminate countertops
12-36-40,stone countertops
12-36-41,common area stone counter tops
12-36-61,engineered stone counters
12-48-13,door mats & frames
12-48-16,door pedi-mats
12-48-53,rugs & mats
12-51-10,furniture
12-52-83,theatre seating & flooring
12-93-10,lockers & bike racks trade contract
12-93-13,bicycle racks
13-11-10,pools & spa
13-17-13,jacuzzi tubs
13-20-10,upgrade lobby
13-20-11,upgrade corridors
13-20-12,upgrade entrance
13-20-13,upgrade penthouse & sub-penthouse
13-20-14,upgrade hotel rooms
13-20-15,upgrade amenity
13-24-16,steam room
13-28-16,safety netting
13-28-26,squash court flooring
13-34-19,metal building systems
14-10-10,dumbwaiter
14-21-10,elevator trade contract
14-21-13,traction freight elevators
14-21-23,traction passenger elevators
14-24-13,hydraulic freight elevators
14-24-23,hydraulic passenger elevators
14-27-13,upgrade cab
14-31-10,escalators
14-42-13,Inclined wheelchair lifts
14-42-16,vertical wheelchair lifts
14-45-10,vehicle lift
14-91-82,chutes & collectors
21-07-19,fire protection piping insulation
21-10-10,fire protection trade contract
21-10-11,fire protection system - parkade
21-10-12,fire protection system - woodframe
21-10-13,fire protection system - concrete
21-10-14,fire protection system - commercial
21-10-15,fire protection system - healthcare
21-10-16,water curtains
22-07-19,plumbing piping insulation
22-10-10,plumbing rough-in - parkade
22-10-11,plumbing rough-in - woodframe
22-10-12,plumbing rough-in fixture - woodframe
22-10-13,plumbing rough-in - concrete
22-10-14,plumbing rough-in fixture - concrete
22-10-20,plumbing rough-in - commercial
22-14-50,water storage tank
22-30-10,plumbing equipment
22-40-10,plumbing finish - parkade
22-40-11,plumbing finish - woodframe
22-40-12,plumbing finish fixture - woodframe
22-40-13,plumbing finish - concrete
22-40-14,plumbing finish fixture - concrete
22-40-15,plumbing fixtures & trims
22-40-20,plumbing finish - commercial
22-70-10,geothermal piping & manifold
22-71-10,structure damper slosh tank
22-80-10,mechanical trade contract
23-07-13,hvac & duct  insulation
23-22-30,steam generator
23-30-10,air & vent system - parkade
23-30-11,air & vent system - woodframe
23-30-12,air & vent system - concrete
23-30-13,air & vent system - commercial
23-50-10,heating systems - parkade
23-50-11,heating system - woodframe
23-50-12,heating systems - concrete
23-50-13,hot water baseboard - woodframe
23-50-14,hot water baseboard - concrete
23-50-15,dryer booster fans
23-50-20,heating systems - commercial
23-60-10,air conditioning systems
23-70-10,hvac equipment
23-83-10,radiant floor heat - woodframe
23-83-11,radiant floor heat - concrete
25-30-10,controls & instrumentation
26-05-10,hydro charges
26-05-11,electrical vaults
26-05-12,electrical pull boxes
26-05-13,electrical ground grid
26-11-10,unit substation
26-20-10,electrical rough-in - below grade
26-20-11,electrical rough-in - woodframe
26-20-12,electrical rough-in - concrete
26-20-13,electrical rough-in - commercial
26-20-14,dryer booster fans hookup
26-20-20,electrical finishing - commercial
26-20-21,electrical finishing - below grade
26-20-22,electrical finishing - woodframe
26-20-23,electrical finishing - concrete
26-20-24,dimming system
26-20-30,electrical heat - below grade
26-20-31,electrical heat - wood frame
26-20-32,electrical heat - concrete
26-26-10,electrical service & distribution
26-32-13,emergency power generator
26-33-53,electrical ups system
26-40-41,electrical radiant heat - woodframe
26-40-42,electrical radiant heat - concrete
26-51-10,supply light fixture - below grade
26-51-11,supply light fixture - common area
26-51-12,supply light fixture - suites
26-51-13,supply light fixture - commercial
26-51-14,supply light fixtures
26-51-20,supply & install light fixture - package
26-56-10,supply light fixture - exterior & landscape
26-56-70,supply light fixture - facade led lighting
26-60-10,tel/cable hook-up fees
26-60-11,telephone/internet prewire
26-60-12,cablevision prewire
26-80-10,electrical trade contract
27-10-10,communications
27-32-23,elevator telephones
27-41-10,A/V trade contract
27-41-16,audio-video systems & equipment
27-51-16,public address system
28-10-10,security system trade contract
28-10-11,security system rough-in
28-10-12,security system
28-10-13,security system - commercial
28-10-14,enterphone
28-31-11,fire alarm system
31-11-10,site preparation
31-11-11,temporary road
31-11-20,slurry removal
31-12-10,contaminated soil remediation and removal
31-13-13,selective tree & shrub removal
31-13-16,selective tree & shrub trimming
31-14-16,top soil excavation
31-14-20,remove spoil material
31-22-13,site grading
31-22-20,sog preparation
31-23-10,excavation & shoring trade contract
31-23-16,structure excavation
31-23-17,detail footing excavation
31-23-18,trench excavation
31-23-19,dewatering
31-23-20,rock removal
31-23-21,rock blasting
31-23-22,hand excavate
31-23-23,import fill to slab base
31-23-24,import fill to below-grade walls
31-23-25,import structural fill
31-23-26,sand fill
31-23-27,pit run gravel
31-23-28,road base gravel
31-23-29,crushed rock
31-23-30,pea gravel
31-23-31,native fill
31-23-32,controlled density fill
31-23-33,trench backfill
31-23-34,concrete vertical Plug
31-25-10,wheel wash
31-25-11,water filtration system
31-25-12,erosion & sediment control
31-33-26,rock slope wire mesh
31-35-20,slope protection
31-36-13,gabion boxes
31-41-13,soldier piles & lagging
31-41-16,sheet piling install & remove
31-41-40,pile layout
31-41-50,shotcrete & anchors
31-41-60,shoring removal
31-45-13,vibro stone columns
31-45-20,preload
31-45-21,rapid impact compaction
31-48-10,underpinning
31-56-13,bentonite slurry walls
31-56-23,jet grout walls
31-60-10,soils improvement
31-60-11,cutter soil mixer
31-62-10,jet grout piles
31-62-13,precast piles
31-62-14,cast in place caissons
31-62-15,expanded base piles
31-62-16,steel h piles
31-62-17,steel pipe piles
31-62-19,wood piles
31-62-30,pile trimming
31-63-16,bored & socketed piles
31-63-19,bored concrete piles
31-63-26,drilled caissons
31-63-33,drilled micropiles
31-63-40,screw piles
31-68-13,tie-down anchors
31-68-16,helical foundation anchors
31-80-10,geothermal sitework
31-81-20,manufactured drainage mat
31-81-21,foundation drainage
31-81-22,underslab drainage
31-81-23,drainage rock
31-81-24,catch basins & manholes
31-81-25,filter cloth
31-81-26,sleeves in concrete
31-81-27,below-grade poly
31-90-10,soil contamination testing
31-90-11,soil compaction testing
32-13-13,exposed aggregate paving
32-13-16,decorative concrete paving
32-14-10,specialty pavers
32-14-16,unit pavers
32-14-23,asphaltic concrete paving
32-14-50,hard landscaping
32-16-13,curbs and gutters
32-16-23,city sidewalks
32-16-24,city lane
32-16-25,road and traffic signals
32-16-33,driveways
32-16-40,handicap access ramps
32-17-13,concrete wheel stops
32-17-23,exterior parking line painting
32-18-23,tennis court incl. fence
32-31-13,chain link fences & gates
32-31-29,wood fencing
32-31-60,garbage enclosure
32-32-13,cast-in-place retaining walls
32-32-16,precast retaining walls
32-32-29,timber retaining walls
32-32-34,reinforced soil retaining walls
32-32-53,stone retaining walls
32-40-10,architectural concrete trade contract
32-40-11,gazebo
32-40-12,wood trellis
32-40-13,benches
32-40-14,bbq pit
32-40-15,site furnishings
32-40-16,putting green
32-40-17,boardwalk
32-40-18,water fountain
32-40-19,play structures
32-40-30,landscape concrete
32-40-31,concrete light pole bases
32-40-40,granite wall cap
32-40-50,landscape wood decking
32-40-60,temporary parking area
32-50-10,water feature
32-50-11,ponds & reservoirs
32-60-10,void fill to landscaping
32-84-13,drip irrigation
32-84-23,underground sprinklers irrigation
32-92-23,sodding
32-93-10,landscaping trade contract
32-93-43,trees
32-93-50,soft landscaping
32-94-34,fiberglass planter
32-94-43,tree grates
33-05-10,civil trade contract
33-05-16,general site utilities
33-10-10,site water utility
33-30-10,site sanitary utility
33-36-10,septic tank system
33-40-10,site storm utility
33-70-10,power & communication utilities
34-41-13,traffic signals
34-41-16,traffic control equipment
70-10-10,leed - bronze certified
70-10-11,leed - bronze equivalent
70-10-20,leed - silver certified
70-10-21,leed - silver equivalent
70-10-30,leed - gold certified
70-10-31,leed - gold equivalent
70-10-40,leed - platinum certified
70-10-41,leed - platinum equivalent
70-90-10,leed testing - general
80-10-10,management fee - pre-construction
80-10-20,management fee - construction
80-10-30,managment fee - post-construction
81-10-10,fixed general conditions
82-10-10,reimbursables
83-10-10,contingency - owner
83-10-11,contingency - owner market escalation
83-10-20,contingency - u1
83-10-21,contingency - u1 market escalation
90-10-10,allocated overhead
95-10-10,beginning balances
